pickup_weekday,pickup_hour,work_hours,pickup_minute,passenger_count,trip_distance,trip_time,trip_speed,PULocationID,DOLocationID,RatecodeID,high_tip
2.0,0.0,0.0,28.0,1.0,1.2,288.0,0.004166667,238.0,239.0,1.0,1
2.0,0.0,0.0,35.0,1.0,1.2,445.0,0.0026966291,239.0,238.0,1.0,1
2.0,0.0,0.0,47.0,1.0,0.6,371.0,0.0016172507,238.0,238.0,1.0,0
2.0,0.0,0.0,55.0,1.0,0.8,291.0,0.0027491408,238.0,151.0,1.0,1
2.0,0.0,0.0,9.0,1.0,0.03,53.0,0.0005660377,7.0,193.0,1.0,0
2.0,0.0,0.0,29.0,2.0,0.7,687.0,0.0010189229,246.0,48.0,1.0,1
2.0,0.0,0.0,55.0,2.0,2.4,1012.0,0.0023715415,246.0,79.0,1.0,0
2.0,0.0,0.0,37.0,1.0,0.8,866.0,0.00092378753,163.0,161.0,1.0,0
2.0,0.0,0.0,56.0,1.0,3.3,1517.0,0.002175346,161.0,144.0,1.0,1
2.0,0.0,0.0,21.0,1.0,1.07,337.0,0.0031750742,43.0,239.0,1.0,1
